district,adm2_name,note
Bawku,Bawku Municipal,
Bolgatanga,Bolgatanga Municipal,split 2018
Bolgatanga,Bolga East,split 2018
Bunkpurugu-Yunyoo,Bunkpurugu Nakpanduri,split 2018
Bunkpurugu-Yunyoo,Yunyoo-Nasuan,split 2018
Daffiama-Bussie-Issa,Daffiama Bussie Issa,
East Gonja,East Gonja Municipal,split 2018
East Gonja,North East Gonja,split 2018
Garu-Tempane,Garu,split 2018
Garu-Tempane,Tempane,split 2018
Gushiegu,Gushegu,spelling
Kasena-Nankana,Kasena Nankana East,
Kasena-Nankana West,Kasena Nankana West,
Mamprugu-Moagduri,Mamprugu Moagduri,
Sagnarigu,Sagnerigu,spelling
Savelugu-Nanton,Savelugu,split 2018
Savelugu-Nanton,Nanton,split 2018
Tamale,Tamale Metropolitan,
Tatale-Sangule,Tatale Sanguli,spelling
Wa,Wa Municipal,
West Mamprusi,West Mamprusi Municipal,
Yendi,Yendi Municipal,
